Некоммерческая организация «Союз студенческих землячеств»;Формирование гражданской идентичности у молодежи – залог будущего России;Российский Союз Молодежи;1 конкурс;2013 год;2500000;От 1 млн до 3 млн
Алтайская краевая молодежная общественная организация «Лига студентов АГУ»;«Юристы - населению»;Общероссийское общественное движение «Гражданское достоинство»;1 конкурс;2014 год;620000;Меньше 1 млн
Орловская региональная  общественная организация «Орловская студенческая община»;«ТОСовский призыв!» (Региональный центр развития территориального общественного самоуправления Орловской области);Институт социально-экономических и политических исследований;1 конкурс;2014 год;1294050;От 1 млн до 3 млн
Новгородская региональная общественная организация «Общество Возрождения Православных Храмов Земли Новгородской»;Поддержка глухих и слабослышащих с помощью изучения их проблем и образа жизни, привлечения внимания к их положению и разработке программы по развитию взаимопонимания с ними в подростковой и студенческой среде.;Национальный благотворительный фонд;1 конкурс;2014 год;5000000;От 5 млн до 7 млн
"Общероссийский союз общественных объединений ""Российский Национальный подготовительный комитет всмирных фестивалей молодежи и студентов""";"""Единение народов России!"" (создание интернет-площадок, выпуск печатных изданий, проведение семинаров и форумов, направленных  на сближение и усиление взаимной адаптации этнических групп России).";Национальный благотворительный фонд;1 конкурс;2014 год;1800000;От 1 млн до 3 млн
"Калинградская региональная молодежная общественная организация ""Калининградский областной штаб студенческих отрядов""";"Проведение добровольческого Форума СЗФО ""Волшебство добра""";Российский Союз Молодежи;1 конкурс;2014 год;994000;Меньше 1 млн
"Автономная некоммерческая организация ""Экспертно-аналитический Центр по модернизации и технологическому развитию экономики""";"Система правовой поддержки студентов ""СТУДЕНТПРАВ"" (создание системы поддержки студентов и улучшение качества образования и социального обеспечения студенчества).";Национальный благотворительный фонд;1 конкурс;2014 год;1000000;От 1 млн до 3 млн
Некоммерческое партнерство «Национальная студенческая футбольная лига»;День студенческого футбола;Лига здоровья нации;1 конкурс;2014 год;1300000;От 1 млн до 3 млн
Астраханская областная общественная организация по патриотическому, правовому и физическому развитию молодежи;"""Мы помним подвиг солдата"" (комплекс мероприятий патриотической направленности для  школьников, учащихся и студентов учебных заведений Астраханской области).";Национальный благотворительный фонд;2 конкурс;2014 год;500000;Меньше 1 млн
Молодежная общероссийская общественная организация «Российские Студенческие Отряды»;Актуализация и распространение движения студенческих отрядов среди молодежи в рамках реализации программы профессиональной, личностной и социальной самореализации.;Российский Союз Молодежи;2 конкурс;2014 год;1500000;От 1 млн до 3 млн
Общественная организация «Ассоциация студентов вузов Северного Кавказа»;Проведение II Форума черкесской молодежи России и зарубежья;Российский Союз Молодежи;2 конкурс;2014 год;4000000;От 3 млн до 5 млн
Фонд поддержки гражданских социально-гуманитарных и экономических инициатив «Развитие»;Защита прав иногородних студентов высших и средних специальных учебных заведений на проживание в общежитиях;Общероссийское общественное движение «Гражданское достоинство»;2 конкурс;2014 год;2765000;От 1 млн до 3 млн
Волгоградская региональная молодёжная общественная организация «Сталинградский характер»;"Молодежный фестиваль ""Всероссийский студенческий марафон""";Российский Союз Молодежи;2 конкурс;2014 год;480000;Меньше 1 млн
"Региональная молодежная общественная организация ""Омский областной студенческий отряд""";"""Все для ФРОНТА - Все для ПОБЕДЫ""";Общество «Знание» России;2 конкурс;2014 год;600000;Меньше 1 млн
Общероссийская молодежная общественная организация «Ассоциация студенческих спортивных клубов России»;Развитие массового студенческого спорта в России;Российский Союз Молодежи;2 конкурс;2014 год;9000000;От 7 млн до 10 млн
"Региональная молодежная организация ""Лига студентов Республики Татарстан""";"""Россия студенческая""";Российский Союз Молодежи;2 конкурс;2014 год;3484000;От 3 млн до 5 млн
Автономная некоммерческая организация «Институт миграции и межнациональных отношений»;Исследование проблем  адаптации и интеграции мигрантов – представителей школьной и студенческой молодежи в местное сообщество.;Национальный благотворительный фонд;2 конкурс;2014 год;2500000;От 1 млн до 3 млн
Первичная профсоюзная организация Нижегородской областной организации профессионального союза работников народного образования и науки Российской Федерации в ННГУ им. Н.И. Лобачевского (студентов);"""Прогрессия""";Общество «Знание» России;2 конкурс;2014 год;2000000;От 1 млн до 3 млн
Ростовское региональное отделение молодежной общероссийской общественной организации «Российские студенческие отряды»;"""Интеротряд"". Межнациональный проект по развитию толерантности в среде студенческой молодежи.";Национальный благотворительный фонд;2 конкурс;2014 год;500000;Меньше 1 млн
"Автономная некоммерческая организация высшего профессионального образования ""Казанский институт финансов, экономики и информатики""";"Создание студенческого движения ""Общественный контроль ЖКХ""";Российский Союз Молодежи;2 конкурс;2014 год;1600000;От 1 млн до 3 млн
Союз студенческих землячеств;Гармонизация межнациональных отношений - воспитание гражданской идентичности у молодежи.;Национальный благотворительный фонд;2 конкурс;2014 год;2500000;От 1 млн до 3 млн
